Station;SurveyID;KPPID;SurveyName;SurveyName1;Latitude;Longitude;Trail;HabitatID;Habitat;BiomeID;Biome;Elevation;DisturbanceIndex;LivestockIndex;MSAVI2;Nights;NightsPool;SmallPreyIndex;PreyIndex
97;2;ssu011;Koup;KoupNorth;-32.93367;21.3424;trail;3;riverine;1;NamaKaroo;712;0;30;0.1738;100;16;2.42;101.7
98;2;ssu012;Koup;KoupNorth;-32.93386;21.36366;off-trail;1;plain;1;NamaKaroo;706;0;0;0.1629;90;15;14.52;45.2
99;2;ssu013;Koup;KoupNorth;-32.93526;21.38663;trail;3;riverine;1;NamaKaroo;642;0;2.27;0.1705;88;14;24.2;184.5
100;2;ssu014;Koup;KoupNorth;-32.97003;21.32099;trail;1;plain;1;NamaKaroo;721;0;87.5;0.2;8;1;7.26;0
101;2;ssu015;Koup;KoupNorth;-33.00617;21.38538;trail;3;riverine;1;NamaKaroo;644;0;0;0.2162;90;15;0;777.2
102;2;ssu017;Koup;KoupNorth;-32.95221;21.25677;off-trail;1;plain;1;NamaKaroo;899;0;3.37;0.1822;89;14;0;269.1
103;2;ssu018;Koup;KoupNorth;-32.89799;21.42844;trail;3;riverine;1;NamaKaroo;599;0;12.5;0.1917;88;14;0;222.1
104;2;ssu019;Koup;KoupNorth;-33.00547;21.47101;off-trail;4;kloof;1;NamaKaroo;527;0;0;0.2123;91;15;7.26;54.6
105;2;ssu020;Koup;KoupNorth;-33.00546;21.49212;off-trail;3;riverine;1;NamaKaroo;529;0;0;0.1974;90;15;16.94;0
106;2;ssu021;Koup;KoupNorth;-32.91769;21.21102;off-trail;4;kloof;1;NamaKaroo;1139;0;1.1;0.1369;91;15;0;124.2
107;2;ssu022;Koup;KoupNorth;-32.91604;21.23538;trail;2;mountain;1;NamaKaroo;916;8.791208791;0;0.1686;91;15;9.68;562.7
108;2;ssu023;Koup;KoupNorth;-32.93376;21.47054;off-trail;1;plain;1;NamaKaroo;569;0;0;0.1808;88;14;36.3;214.6
109;2;ssu024;Koup;KoupNorth;-32.93346;21.40651;off-trail;1;plain;1;NamaKaroo;633;0;14.61;0.1955;89;14;43.56;278.7
110;2;ssu025;Koup;KoupNorth;-32.93253;21.42735;off-trail;1;plain;1;NamaKaroo;643;0;32.95;0.1993;88;14;2.42;156.3
111;2;ssu026;Koup;KoupNorth;-32.93379;21.44938;trail;3;riverine;1;NamaKaroo;587;0;0;0.1894;88;14;4.84;178.8
112;2;ssu028;Koup;KoupNorth;-32.98893;21.21365;off-trail;3;riverine;1;NamaKaroo;856;0;29.55;0.1824;88;14;12.92;1863
113;2;ssu029;Koup;KoupNorth;-32.98791;21.23542;off-trail;2;mountain;1;NamaKaroo;839;0;27.27;0.1928;88;14;0;291.7
114;2;ssu032;Koup;KoupNorth;-32.89749;21.44905;off-trail;2;mountain;1;NamaKaroo;593;0;18.18;0.2017;88;14;0.138;11.3
115;2;ssu033;Koup;KoupNorth;-32.91551;21.44927;off-trail;2;mountain;1;NamaKaroo;605;0;0;0.2095;89;14;0;0
116;2;ssu035;Koup;KoupNorth;-32.89732;21.40638;trail;3;riverine;1;NamaKaroo;643;0;2.27;0.1737;88;14;38.72;41.4
117;2;ssu036;Koup;KoupNorth;-32.98985;21.38515;trail;1;plain;1;NamaKaroo;639;0;92.31;0.1948;91;15;7.26;508.1
118;2;ssu037;Koup;KoupNorth;-32.98773;21.40649;off-trail;4;kloof;1;NamaKaroo;621;0;14.44;0.1802;90;15;0;20.7
120;2;ssu040;Koup;KoupNorth;-32.98756;21.47089;off-trail;1;plain;1;NamaKaroo;516;0;35.96;0.2;89;14;4.84;77.2
121;2;ssu042;Koup;KoupNorth;-32.98807;21.49252;trail;3;riverine;1;NamaKaroo;514;0;47.19;0.1978;89;14;4.84;167.5
122;2;ssu046;Koup;KoupNorth;-32.91562;21.40627;off-trail;1;plain;1;NamaKaroo;663;10.22727273;232.95;0.1699;88;14;16.94;152.5
123;2;ssu047;Koup;KoupNorth;-32.91537;21.42815;off-trail;1;plain;1;NamaKaroo;612;0;45.45;0.2039;88;14;2.42;592.9
124;2;ssu048;Koup;KoupNorth;-32.96974;21.19292;trail;1;plain;1;NamaKaroo;909;0;0;0.1836;93;15;9.68;259.7
125;2;ssu049;Koup;KoupNorth;-32.96967;21.21338;trail;3;riverine;1;NamaKaroo;888;0;73.56;0.1793;87;14;9.68;331.2
126;2;ssu050;Koup;KoupNorth;-32.97017;21.23536;off-trail;1;plain;1;NamaKaroo;869;0;1.12;0.1995;89;14;7.26;240.9
128;2;ssu052;Koup;KoupNorth;-32.96547;21.27542;off-trail;2;mountain;1;NamaKaroo;807;0.99009901;29.7;0.1818;101;16;0;82.8
129;2;ssu053;Koup;KoupNorth;-32.97013;21.29962;trail;1;plain;1;NamaKaroo;758;37.5;37.5;0.1987;8;1;3.5;0
130;2;ssu055;Koup;KoupNorth;-32.97006;21.3437;trail;1;plain;1;NamaKaroo;685;0;0;0.2173;100;16;2.42;131.8
131;2;ssu056;Koup;KoupNorth;-32.96933;21.36374;off-trail;1;plain;1;NamaKaroo;668;0;0;0.2005;88;14;0;192
132;2;ssu057;Koup;KoupNorth;-32.96968;21.38526;off-trail;1;plain;1;NamaKaroo;633;0;0;0.2004;90;15;12.1;33.9
133;2;ssu058;Koup;KoupNorth;-32.96962;21.40646;off-trail;1;plain;1;NamaKaroo;623;0;3.33;0.2022;90;15;4.84;101.7
134;2;ssu059;Koup;KoupNorth;-33.00604;21.1927;off-trail;1;plain;1;NamaKaroo;888;0;0;0.1689;89;14;0;910.8
135;2;ssu061;Koup;KoupNorth;-32.98781;21.29993;off-trail;2;mountain;1;NamaKaroo;814;0;18;0.1837;100;16;7.26;169.4
136;2;ssu062;Koup;KoupNorth;-32.98808;21.32109;off-trail;2;mountain;1;NamaKaroo;797;0;3;0.1927;100;16;2.42;0
137;2;ssu063;Koup;KoupNorth;-32.98802;21.34246;off-trail;1;plain;1;NamaKaroo;712;0;39;0.2063;100;16;0;67.8
138;2;ssu065;Koup;KoupNorth;-32.9879;21.25679;trail;3;riverine;1;NamaKaroo;819;0;17.05;0.1785;88;14;16.94;148.7
139;2;ssu067;Koup;KoupNorth;-32.95332;21.19208;off-trail;2;mountain;1;NamaKaroo;1044;0;0;0.149;93;15;0;41.4
140;2;ssu068;Koup;KoupNorth;-32.95226;21.21407;off-trail;1;plain;1;NamaKaroo;938;0;1.1;0.187;91;15;12.1;434.7
141;2;ssu069;Koup;KoupNorth;-32.95196;21.23568;off-trail;1;plain;1;NamaKaroo;942;0;6.82;0.1754;88;14;4.84;615.4
142;2;ssu071;Koup;KoupNorth;-32.95192;21.27784;off-trail;1;plain;1;NamaKaroo;851;0;55.45;0.1888;101;16;2.42;229.6
143;2;ssu072;Koup;KoupNorth;-32.95205;21.29958;off-trail;1;plain;1;NamaKaroo;818;0;12.87;0.1767;101;16;16.94;120.5
144;2;ssu074;Koup;KoupNorth;-33.07835;21.25726;off-trail;1;plain;1;NamaKaroo;708;0;34.95;0.181;103;17;12.1;244.7
145;2;ssu075;Koup;KoupNorth;-33.06027;21.23566;off-trail;1;plain;1;NamaKaroo;774;0;12.62;0.1847;103;17;2.42;148.7
146;2;ssu076;Koup;KoupNorth;-33.06018;21.25713;off-trail;1;plain;1;NamaKaroo;726;0;29.13;0.187;103;17;0;305
147;2;ssu077;Koup;KoupNorth;-33.06012;21.27856;off-trail;1;plain;1;NamaKaroo;698;0;59.22;0.1745;103;17;24.2;440.6
148;2;ssu078;Koup;KoupNorth;-32.9519;21.42804;trail;1;plain;1;NamaKaroo;588;2.247191011;120.22;0.1873;89;14;12.1;77.2
149;2;ssu079;Koup;KoupNorth;-32.95125;21.44941;trail;3;riverine;1;NamaKaroo;571;4.545454545;26.14;0.1869;88;14;0;97.9
150;2;ssu080;Koup;KoupNorth;-32.95157;21.47061;off-trail;1;plain;1;NamaKaroo;530;0;12.5;0.1904;88;14;4.84;271
151;2;ssu081;Koup;KoupNorth;-32.95095;21.49216;trail;3;riverine;1;NamaKaroo;531;0;0;0.1705;88;14;7.26;75.3
152;2;ssu084;Koup;KoupNorth;-32.93356;21.19225;off-trail;4;kloof;1;NamaKaroo;1084;0;0;0.177;91;15;2.42;0
